Annee,Mois,Valeur
2014,11,77.0
2014,10,82.1
2014,9,
2014,8,
2014,7,
2014,6,79.4
2014,5,79.4
2014,4,81.7
2014,3,80.5
2014,2,77.1
2014,1,75.5
2013,12,77.2
2013,11,86.0
2013,10,106.3
2013,9,
2013,8,
2013,7,
2013,6,91.8
2013,5,92.7
2013,4,91.7
2013,3,92.8
2013,2,70.5
2013,1,93.5
2012,12,93.8
2012,11,100.2
2012,10,99.6
2012,9,
2012,8,
2012,7,
2012,6,84.1
2012,5,84.1
2012,4,84.1
2012,3,79.1
2012,2,78.2
2012,1,75.8
2011,12,81.6
2011,11,87.2
2011,10,90.1
2011,9,
2011,8,
2011,7,
2011,6,69.2
2011,5,71.3
2011,4,70.5
2011,3,72.9
2011,2,77.1
2011,1,77.3
2010,12,80.1
2010,11,90.7
2010,10,90.7
2010,9,
2010,8,
2010,7,
2010,6,77.6
2010,5,76.2
2010,4,75.2
2010,3,75.2
2010,2,75.2
2010,1,75.2
2009,12,75.9
2009,11,84.8
2009,10,87.8
2009,9,
2009,8,
2009,7,
2009,6,83.9
2009,5,83.9
2009,4,79.7
2009,3,74.0
2009,2,69.9
2009,1,69.9
2008,12,73.5
2008,11,89.4
2008,10,92.0
2008,9,
2008,8,
2008,7,
2008,6,76.8
2008,5,79.3
2008,4,83.1
2008,3,79.9
2008,2,74.3
2008,1,78.1
2007,12,92.0
2007,11,96.1
2007,10,89.2
2007,9,
2007,8,
2007,7,
2007,6,83.1
2007,5,76.0
2007,4,75.5
2007,3,75.5
2007,2,75.5
2007,1,82.7
2006,12,83.4
2006,11,99.6
2006,10,110.2
2006,9,
2006,8,
2006,7,
2006,6,79.6
2006,5,79.6
2006,4,79.6
2006,3,79.6
2006,2,79.7
2006,1,89.9
2005,12,92.0
2005,11,94.5
2005,10,82.3
2005,9,
2005,8,
2005,7,
2005,6,113.9
2005,5,113.9
2005,4,106.9
2005,3,104.1
2005,2,103.3
2005,1,101.1
2004,12,92.7
2004,11,100.8
2004,10,98.0
2004,9,
2004,8,
2004,7,
2004,6,87.3
2004,5,79.9
2004,4,75.2
2004,3,74.5
2004,2,74.5
2004,1,73.7
2003,12,74.5
2003,11,91.4
2003,10,107.1
2003,9,
2003,8,
2003,7,
2003,6,87.2
2003,5,73.6
2003,4,69.1
2003,3,65.0
2003,2,64.3
2003,1,64.3
2002,12,63.6
2002,11,73.7
2002,10,81.0
2002,9,
2002,8,
2002,7,
2002,6,72.0
2002,5,72.0
2002,4,70.3
2002,3,71.0
2002,2,73.2
2002,1,74.6
2001,12,75.7
2001,11,78.4
2001,10,83.6
2001,9,
2001,8,
2001,7,
2001,6,74.6
2001,5,71.6
2001,4,66.6
2001,3,64.0
2001,2,63.4
2001,1,72.5
2000,12,73.7
2000,11,72.7
2000,10,71.0
2000,9,
2000,8,
2000,7,
2000,6,80.7
2000,5,85.1
2000,4,62.7
2000,3,64.6
2000,2,68.3
2000,1,63.7
