année,mois,valeur
2014,11,116,0
2014,10,117,3
2014,9,119,6
2014,8,119,0
2014,7,119,2
2014,6,122,2
2014,5,118,3
2014,4,114,7
2014,3,124,6
2014,2,126,6
2014,1,129,4
2013,12,134,6
2013,11,121,4
2013,10,122,7
2013,9,126,5
2013,8,126,3
2013,7,130,3
2013,6,127,9
2013,5,124,8
2013,4,118,9
2013,3,113,4
2013,2,96,2
2013,1,120,2
2012,12,117,8
2012,11,116,3
2012,10,117,8
2012,9,120,0
2012,8,110,2
2012,7,110,1
2012,6,111,8
2012,5,109,4
2012,4,111,6
2012,3,110,4
2012,2,117,4
2012,1,122,9
2011,12,131,6
2011,11,123,5
2011,10,119,5
2011,9,122,3
2011,8,129,1
2011,7,129,3
2011,6,127,7
2011,5,123,7
2011,4,122,0
2011,3,116,8
2011,2,113,4
2011,1,122,9
2010,12,122,5
2010,11,118,3
2010,10,119,5
2010,9,126,3
2010,8,120,4
2010,7,120,4
2010,6,112,9
2010,5,110,6
2010,4,105,2
2010,3,101,7
2010,2,97,8
2010,1,105,1
2009,12,110,6
2009,11,102,5
2009,10,99,8
2009,9,107,6
2009,8,107,0
2009,7,110,6
2009,6,113,1
2009,5,112,6
2009,4,107,3
2009,3,95,1
2009,2,95,7
2009,1,97,5
2008,12,104,3
2008,11,103,6
2008,10,102,7
2008,9,113,3
2008,8,113,8
2008,7,109,5
2008,6,109,1
2008,5,106,1
2008,4,108,1
2008,3,110,9
2008,2,104,6
2008,1,116,3
2007,12,109,9
2007,11,106,1
2007,10,107,2
2007,9,106,0
2007,8,104,3
2007,7,116,0
2007,6,114,8
2007,5,114,2
2007,4,110,5
2007,3,110,8
2007,2,108,8
2007,1,114,0
2006,12,117,5
2006,11,108,7
2006,10,113,8
2006,9,120,0
2006,8,122,6
2006,7,122,4
2006,6,119,7
2006,5,110,1
2006,4,106,0
2006,3,103,7
2006,2,98,3
2006,1,100,9
2005,12,104,9
2005,11,101,5
2005,10,98,1
2005,9,102,3
2005,8,103,8
2005,7,115,1
2005,6,108,8
2005,5,97,7
2005,4,93,5
2005,3,91,8
2005,2,88,5
2005,1,93,6
2004,12,90,9
2004,11,91,0
2004,10,93,4
2004,9,96,2
2004,8,96,3
2004,7,96,7
2004,6,94,4
2004,5,94,8
2004,4,93,8
2004,3,94,0
2004,2,91,3
2004,1,100,4
2003,12,95,1
2003,11,92,1
2003,10,91,7
2003,9,88,0
2003,8,90,9
2003,7,91,8
2003,6,90,7
2003,5,91,4
2003,4,90,2
2003,3,89,3
2003,2,88,8
2003,1,98,8
2002,12,93,7
2002,11,92,6
2002,10,91,3
2002,9,93,7
2002,8,93,2
2002,7,89,1
2002,6,94,2
2002,5,94,8
2002,4,85,8
2002,3,86,8
2002,2,89,6
2002,1,97,0
2001,12,92,4
2001,11,86,7
2001,10,86,8
2001,9,94,9
2001,8,95,5
2001,7,95,5
2001,6,96,1
2001,5,92,2
2001,4,91,9
2001,3,89,3
2001,2,85,7
2001,1,90,2
2000,12,90,9
2000,11,87,4
2000,10,85,7
2000,9,89,9
2000,8,92,7
2000,7,89,6
2000,6,94,9
2000,5,91,5
2000,4,88,7
2000,3,84,4
2000,2,83,8
2000,1,88,2
